,Station,ID,State,File,Latitude,Longitude
134,Buckley 1 Ne,wa0945,WA,WA Buckley 1 Ne,47.1,-122.0
135,Bumping Lake,wa0969,WA,WA Bumping Lake,46.52,-121.18
136,Carson Fish Hatchery,wa1160,WA,WA Carson Fish Hatchery,45.54,-121.57
137,Cathlamet 6 Ne,wa1205,WA,WA Cathlamet 6 Ne,46.16,-123.18
138,Cathlamet 9 Ne,wa1207,WA,WA Cathlamet 9 Ne,46.19,-123.16
139,Cedar Lake,wa1233,WA,WA Cedar Lake,47.25,-121.44
140,Centralia,wa1276,WA,WA Centralia,46.43,-122.57
141,Lakeside,wa1350,WA,WA Lakeside,47.5,-120.02
142,Cheney,wa1362,WA,WA Cheney,47.29,-117.35
143,Chesaw,wa1381,WA,WA Chesaw,48.57,-119.03
144,Chesaw 4 Nnw,wa1385,WA,WA Chesaw 4 Nnw,49.0,-119.04
145,Chewelah,wa1395,WA,WA Chewelah,48.17,-117.43
146,Chief Joseph Dam,wa1400,WA,WA Chief Joseph Dam,48.0,-119.39
147,Chimacum 4 S,wa1414,WA,WA Chimacum 4 S,47.57,-122.47
148,Chiwawa River,wa1426,WA,WA Chiwawa River,48.02,-120.5
149,Clallam Bay Slip Point,wa1465,WA,WA Clallam Bay Slip Point,48.16,-124.15
150,Clarkston Heights,wa1474,WA,WA Clarkston Heights,46.23,-117.05
151,Clearbrook,wa1484,WA,WA Clearbrook,48.58,-122.2
152,Clearwater,wa1496,WA,WA Clearwater,47.35,-124.18
153,Cle Elum,wa1504,WA,WA Cle Elum,47.11,-120.57
154,Colfax 1 Nw,wa1586,WA,WA Colfax 1 Nw,46.53,-117.23
155,Colville,wa1630,WA,WA Colville,48.33,-117.54
156,Colville Airport,wa1650,WA,WA Colville Airport,48.33,-117.53
157,Conconully,wa1666,WA,WA Conconully,48.33,-119.45
158,Concrete Ppl Fish Stn,wa1679,WA,WA Concrete Ppl Fish Stn,48.33,-121.46
159,Connell 1 W,wa1690,WA,WA Connell 1 W,46.4,-118.53
160,Connell 12 Se,wa1691,WA,WA Connell 12 Se,46.3,-118.46
161,Petersons Ranch,wa1760,WA,WA Petersons Ranch,46.04,-122.12
162,Coulee Dam 1 Sw,wa1767,WA,WA Coulee Dam 1 Sw,47.57,-119.0
163,Coupeville 1 S,wa1783,WA,WA Coupeville 1 S,48.12,-122.42
164,Cushman Dam,wa1934,WA,WA Cushman Dam,47.25,-123.13
165,Cushman Powerhouse 2,wa1939,WA,WA Cushman Powerhouse 2,47.22,-123.1
166,Dallesport Fcwos Ap,wa1968,WA,WA Dallesport Fcwos Ap,45.37,-121.09
167,Dallesport 10 N,wa1972,WA,WA Dallesport 10 N,45.45,-121.09
168,Darrington Ranger Stn,wa1992,WA,WA Darrington Ranger Stn,48.15,-121.36
169,Davenport,wa2007,WA,WA Davenport,47.39,-118.08
170,Dayton 1 Wsw,wa2030,WA,WA Dayton 1 Wsw,46.19,-118.0
171,Deer Park 2 E,wa2066,WA,WA Deer Park 2 E,47.58,-117.26
172,Diablo Dam,wa2157,WA,WA Diablo Dam,48.43,-121.09
173,Disautel 9 Ne,wa2175,WA,WA Disautel 9 Ne,48.26,-119.06
174,Doty 3 E,wa2220,WA,WA Doty 3 E,46.38,-123.12
175,Dryad,wa2253,WA,WA Dryad,46.38,-123.15
176,Electron Headworks,wa2493,WA,WA Electron Headworks,46.54,-122.02
177,Ellensburg,wa2505,WA,WA Ellensburg,46.58,-120.33
178,Ellensburg Faa Airport,wa2508,WA,WA Ellensburg Faa Airport,47.02,-120.31
179,Elma,wa2531,WA,WA Elma,47.0,-123.24
180,Eltopia 6 W,wa2540,WA,WA Eltopia 6 W,46.29,-119.1
181,Eltopia 8 Wsw,wa2542,WA,WA Eltopia 8 Wsw,46.24,-119.1
182,Elwha Ranger Stn,wa2548,WA,WA Elwha Ranger Stn,48.02,-123.35
183,Entiat Fish Hatchery,wa2563,WA,WA Entiat Fish Hatchery,47.42,-120.19
184,Ephrata,wa2609,WA,WA Ephrata,47.19,-119.34
185,Ephrata Airport Fcwos,wa2614,WA,WA Ephrata Airport Fcwos,47.19,-119.31
186,Everett Jr College,wa2675,WA,WA Everett Jr College,47.59,-122.11
187,Ewan,wa2706,WA,WA Ewan,47.07,-117.44
188,Forks 1 E,wa2914,WA,WA Forks 1 E,47.57,-124.22
189,Garden City Heights,wa3050,WA,WA Garden City Heights,46.05,-118.19
190,Glacier Ranger Stn,wa3160,WA,WA Glacier Ranger Stn,48.53,-121.57
191,Glenoma 1 W,wa3177,WA,WA Glenoma 1 W,46.31,-122.1
192,Glenwood 2,wa3184,WA,WA Glenwood 2,46.0,-121.17
193,Goldendale,wa3222,WA,WA Goldendale,45.45,-120.5
194,Goldendale 2 E,wa3226,WA,WA Goldendale 2 E,45.49,-120.46
195,Grapeview 3 Sw,wa3284,WA,WA Grapeview 3 Sw,47.18,-122.52
196,Grayland,wa3320,WA,WA Grayland,46.48,-124.05
197,Grays River Hatchery,wa3333,WA,WA Grays River Hatchery,46.23,-123.34
198,Greenwater,wa3357,WA,WA Greenwater,47.08,-121.38
199,Grotto,wa3386,WA,WA Grotto,47.44,-121.25
200,Harrington 5 S,wa3502,WA,WA Harrington 5 S,47.25,-118.15
201,Harrington 1 N,wa3512,WA,WA Harrington 1 N,47.29,-118.15
202,Harrington 2 S,wa3513,WA,WA Harrington 2 S,47.26,-118.15
203,Harrington 4 Ene,wa3515,WA,WA Harrington 4 Ene,47.29,-118.11
204,Hartline,wa3529,WA,WA Hartline,47.41,-119.06
205,Hatton 9 Se,wa3546,WA,WA Hatton 9 Se,46.44,-118.39
206,Holden,wa3728,WA,WA Holden,48.12,-120.47
207,Holden Village,wa3730,WA,WA Holden Village,48.12,-120.47
208,Hoquiam Fcwos Ap,wa3807,WA,WA Hoquiam Fcwos Ap,46.59,-123.56
209,Humptulips Salmon Hatch,wa3826,WA,WA Humptulips Salmon Hatch,47.14,-123.59
210,Ice Harbor Dam,wa3883,WA,WA Ice Harbor Dam,46.15,-118.52
211,Inchelium 2 Nw,wa3903,WA,WA Inchelium 2 Nw,48.19,-118.13
212,Index,wa3909,WA,WA Index,47.49,-121.33
213,Irene Mountain Wauconda,wa3975,WA,WA Irene Mountain Wauconda,48.49,-118.54
214,John Day Dam,wa4035,WA,WA John Day Dam,45.43,-120.42
215,Kahlotus 4 Sw,wa4077,WA,WA Kahlotus 4 Sw,46.35,-118.36
216,Kalama Falls Hatchery,wa4084,WA,WA Kalama Falls Hatchery,46.01,-122.43
217,Kalama 5 Ene,wa4085,WA,WA Kalama 5 Ene,46.03,-122.45
218,Kennewick,wa4154,WA,WA Kennewick,46.13,-119.06
219,Kennewick 10 Sw,wa4159,WA,WA Kennewick 10 Sw,46.08,-119.18
220,Kent,wa4169,WA,WA Kent,47.24,-122.14
221,Keyport Torpedo Stn,wa4187,WA,WA Keyport Torpedo Stn,47.42,-122.37
222,Kid Valley,wa4201,WA,WA Kid Valley,46.22,-122.37
223,Kosmos,wa4286,WA,WA Kosmos,46.3,-122.11
224,La Crosse,wa4338,WA,WA La Crosse,46.49,-117.53
225,La Grande,wa4360,WA,WA La Grande,46.5,-122.19
226,Lake Cle Elum,wa4394,WA,WA Lake Cle Elum,47.15,-121.04
227,Lake Kachess,wa4406,WA,WA Lake Kachess,47.16,-121.12
228,Lake Keechelus,wa4414,WA,WA Lake Keechelus,47.19,-121.2
229,Lakeside,wa4430,WA,WA Lakeside,47.5,-120.03
230,Lake Sutherland Snug H,wa4438,WA,WA Lake Sutherland Snug H,48.05,-123.42
231,Lake Wenatchee,wa4446,WA,WA Lake Wenatchee,47.5,-120.48
232,Lake Whatcom,wa4454,WA,WA Lake Whatcom,48.41,-122.18
233,Landsburg,wa4486,WA,WA Landsburg,47.23,-121.58
234,Laurier,wa4549,WA,WA Laurier,49.0,-118.14
235,Leavenworth 3 S,wa4572,WA,WA Leavenworth 3 S,47.34,-120.4
236,Lemanasky Lake 3,wa4601,WA,WA Lemanasky Lake 3,48.43,-119.37
237,Lind 3 Ne Exp Stn,wa4679,WA,WA Lind 3 Ne Exp Stn,47.0,-118.35
238,Little Goose Dam,wa4702,WA,WA Little Goose Dam,46.35,-118.02
239,Long Beach Exp Stn,wa4748,WA,WA Long Beach Exp Stn,46.22,-124.02
240,Long Beach 3 Nne,wa4752,WA,WA Long Beach 3 Nne,46.23,-124.02
241,Longmire Rainier Nps,wa4764,WA,WA Longmire Rainier Nps,46.45,-121.49
242,Longview,wa4769,WA,WA Longview,46.09,-122.55
243,Lower Granite Dam,wa4835,WA,WA Lower Granite Dam,46.39,-117.26
244,Lower Monumental Dam,wa4841,WA,WA Lower Monumental Dam,46.34,-118.32
245,Malott,wa4935,WA,WA Malott,48.17,-119.43
246,Mansfield,wa4971,WA,WA Mansfield,47.49,-119.38
247,Mansfield 7 W,wa4975,WA,WA Mansfield 7 W,47.49,-119.48
248,Marietta 3 Nnw,wa5028,WA,WA Marietta 3 Nnw,48.5,-122.36
249,Matlock 3 W,wa5080,WA,WA Matlock 3 W,47.14,-123.29
250,Matlock 8 S,wa5086,WA,WA Matlock 8 S,47.09,-123.24
251,Mayfield Power Plant,wa5110,WA,WA Mayfield Power Plant,46.3,-122.35
252,Mazama 6 Se,wa5128,WA,WA Mazama 6 Se,48.32,-120.2
253,Mazama,wa5133,WA,WA Mazama,48.37,-120.27
254,Mc Millin Reservoir,wa5224,WA,WA Mc Millin Reservoir,47.08,-122.16
255,Mc Nary Dam,wa5231,WA,WA Mc Nary Dam,45.57,-119.18
256,Merwin Dam,wa5305,WA,WA Merwin Dam,45.57,-122.33
257,Metaline Falls,wa5317,WA,WA Metaline Falls,48.52,-117.22
258,Methow 2 S,wa5326,WA,WA Methow 2 S,48.06,-120.01
259,Methow 2,wa5327,WA,WA Methow 2,48.08,-120.01
260,Mill Creek,wa5377,WA,WA Mill Creek,46.01,-118.07
261,Mill Creek Dam,wa5387,WA,WA Mill Creek Dam,46.05,-118.16
262,Mineral 1 Sw,wa5425,WA,WA Mineral 1 Sw,46.43,-122.11
263,Monroe,wa5525,WA,WA Monroe,47.51,-121.59
264,Moses Lake,wa5608,WA,WA Moses Lake,47.06,-119.15
265,Moses Lake 3 E,wa5613,WA,WA Moses Lake 3 E,47.07,-119.12
266,Mount Adams Ranger Stn,wa5659,WA,WA Mount Adams Ranger Stn,46.0,-121.32
267,Mount Spokane Summit,wa5674,WA,WA Mount Spokane Summit,47.55,-117.07
268,Mount Vernon 3 Wnw,wa5678,WA,WA Mount Vernon 3 Wnw,48.26,-122.23
269,Moxee City 10 E,wa5688,WA,WA Moxee City 10 E,46.31,-120.1
270,Mud Mountain Dam,wa5704,WA,WA Mud Mountain Dam,47.09,-121.56
271,Naselle,wa5774,WA,WA Naselle,46.23,-123.45
272,Neah Bay 2 E,wa5801,WA,WA Neah Bay 2 E,48.22,-124.37
273,Nespelem 2 S,wa5832,WA,WA Nespelem 2 S,48.08,-118.59
274,Newhalem,wa5840,WA,WA Newhalem,48.41,-121.15
275,Newport,wa5844,WA,WA Newport,48.11,-117.03
276,Northport,wa5946,WA,WA Northport,48.55,-117.47
277,Oakville,wa6011,WA,WA Oakville,46.5,-123.14
278,Odessa,wa6039,WA,WA Odessa,47.19,-118.41
279,Olga 2 Se,wa6096,WA,WA Olga 2 Se,48.37,-122.48
280,Olympia Priest Pt Park,wa6109,WA,WA Olympia Priest Pt Park,47.04,-122.53
281,Olympia Wso Ap,wa6114,WA,WA Olympia Wso Ap,46.58,-122.54
282,Omak,wa6121,WA,WA Omak,48.25,-119.32
283,Omak 2 Nw,wa6123,WA,WA Omak 2 Nw,48.26,-119.32
284,Oroville 1 S,wa6187,WA,WA Oroville 1 S,48.56,-119.26
285,Oroville 3 Nw,wa6188,WA,WA Oroville 3 Nw,48.58,-119.3
286,Othello 6 Ese,wa6215,WA,WA Othello 6 Ese,46.48,-119.03
287,Packwood,wa6262,WA,WA Packwood,46.37,-121.4
288,Palmer 3 Se,wa6295,WA,WA Palmer 3 Se,47.18,-121.51
289,Parkway 6 S Crystal Cre,wa6385,WA,WA Parkway 6 S Crystal Cre,46.55,-121.32
290,Plain,wa6534,WA,WA Plain,47.47,-120.39
291,Pleasant View,wa6553,WA,WA Pleasant View,46.31,-118.2
292,Point Grenville,wa6584,WA,WA Point Grenville,47.18,-124.17
293,Pomeroy,wa6610,WA,WA Pomeroy,46.28,-117.37
294,Port Angeles,wa6624,WA,WA Port Angeles,48.07,-123.26
295,Port Townsend,wa6678,WA,WA Port Townsend,48.06,-122.46
296,Priest Rapids Dam,wa6747,WA,WA Priest Rapids Dam,46.39,-119.54
297,Prosser,wa6763,WA,WA Prosser,46.12,-119.46
298,Prosser 4 Ne,wa6768,WA,WA Prosser 4 Ne,46.15,-119.45
299,Pullman Exp Stn,wa6784,WA,WA Pullman Exp Stn,46.44,-117.1
300,Pullman 2 Nw,wa6789,WA,WA Pullman 2 Nw,46.46,-117.12
301,Puyallup 2 W Exp Stn,wa6803,WA,WA Puyallup 2 W Exp Stn,47.12,-122.2
302,Quilcene 2 Sw,wa6846,WA,WA Quilcene 2 Sw,47.49,-122.55
303,Quillayute Wscmo Ap,wa6858,WA,WA Quillayute Wscmo Ap,47.57,-124.33
304,Quinault Ranger Stn,wa6864,WA,WA Quinault Ranger Stn,47.28,-123.51
305,Quincy 1 S,wa6880,WA,WA Quincy 1 S,47.13,-119.51
306,Rainbow Falls Park 2 E,wa6887,WA,WA Rainbow Falls Park 2 E,46.38,-123.11
307,Rainier Carbon River En,wa6892,WA,WA Rainier Carbon River En,47.0,-121.55
308,Rainier Longmire,wa6894,WA,WA Rainier Longmire,46.45,-121.49
